Incident_Address,fines,missed_count,total_requests
"1003 Curdwood Blvd, Nashville, TN 37216, United States",0,1,1
"1003 Drummond Dr, Nashville, TN 37211, United States",0,1,1
"1003 Lenore St, Nashville, Tennessee, 37206",0,1,1
"1003 Southside Ave, Nashville, TN 37203, USA",0,1,1
1003 w greenwood ave,0,1,1
1003 w mckennie ave,0,1,1
"1004 57th Ave N, Nashville, TN 37209, United States",0,1,1
"1004 Arcadia Ct, Nashville, TN 37013, United States",0,1,1
"1004 Clearview Dr, Nashville, TN 37205, United States",0,1,1
1004 GARFIELD ST,0,1,1
1004 MAXWELL AVE,0,1,1
1004 N 7th St,0,1,1
"1004 Regents Park Cir, Nashville, TN 37013, United States",0,1,1
"1004 Summercrest Ct, Nashville, TN 37013, United States",0,1,1
"1004 Trevino Pl, Antioch, Tennessee, 37013",200,2,6
1004 cheatham pl,0,1,1
1004 dove creek ct,0,1,1
"1005 11th Ave N, Nashville, TN 37208, United States",0,1,1
"1005 9th Ave S, Nashville, TN 37203, United States",200,2,2
"1005 Arcadia Ct, Nashville, TN 37013, United States",0,1,1
"1005 Elmshade Ln, Nashville, TN 37211, United States",0,1,1
"1005 Lischey Pl, Nashville, TN 37207, United States",0,1,1
"1005 N 14th St, Nashville, TN 37206, United States",0,1,1
1005 N 6th St,200,2,2
"1005 Preston Dr, Nashville, TN 37206, United States",0,1,1
"1005 Regents Park Cir, Nashville, TN 37013, United States",0,1,1
"1005 SEYMOUR AVE, 37206",0,1,1
"1005 Sevier St, Nashville, TN 37206, United States",0,1,1
"1005 Trice Dr, Nashville, TN 37209, United States",0,1,1
"1005 W Greenwood Ave, Nashville, TN 37206, United States",0,1,1
1005 noelton ave,800,5,2
1006 15th Ave S B,0,1,1
"1006 Clifton Ln, Nashville, TN 37204, United States",0,1,1
"1006 Downey Dr, Nashville, TN 37205, United States",0,1,1
"1006 Free Silver Rd, Nashville, TN 37207, United States",0,1,1
"1006 Gallatin Ave, Nashville, TN 37206, United States",0,1,1
1006 Gilmore Ave,0,1,1
1006 Lenore St,0,1,1
"1006 OLD HICKORY BLVD, 37115",0,1,1
"1006 Pennock Ave, Nashville, TN 37207, United States",200,2,2
1006 Southside Ave,0,1,4
"1006 Waverly Ave, Nashville, TN 37203, United States",0,1,1
"1007 ALICE ST, 37218",0,1,1
1007 Alice St B,0,1,1
"1007 Alice St, Nashville, TN 37218, United States",200,2,2
"1007 Alice St, Nashville, Tennessee, 37218",0,1,1
1007 EDWIN WARNER DR,200,2,1
1007 Horseshoe Dr,0,1,1
1007 Massman Dr,0,1,1
1007 Noelton Ave,0,1,1
"1007 PRIM DR, 37115",0,1,1
1007 South St,0,1,1
1007 fairwin ave,0,1,1
1007 n 6th st,0,1,1
"1007A ALICE ST, 37218",0,1,1
"1007B N 14th St, Nashville, TN 37206, United States",0,1,1
1008 13th ave s,0,1,1
"1008 15th Ave S, Nashville, TN 37212, United States",0,1,1
1008 Antioch Pike,0,1,1
"1008 Arcadia Ct, Nashville, TN 37013, United States",0,1,1
"1008 Battlefield Dr, Nashville, TN 37204, United States",0,1,1
"1008 Dove Creek Ct, Nashville, TN 37013, United States",0,1,1
"1008 Esturbridge Ct, Nashville, TN 37013, United States",200,2,2
"1008 Fairwin Ave, Nashville, TN 37216, United States",0,1,1
1008 N 7th St,0,1,1
"1008 Snow Ave, Nashville, TN 37115, United States",0,1,1
"1008 Stainback Ave, Nashville, TN 37207, United States",0,1,1
"1008 Stockell St, Nashville, TN 37207, United States",0,1,1
"1008 Tuckahoe Dr, Nashville, TN 37115, United States",0,1,1
"1008 Waverly Ave, Nashville, TN 37203, United States",0,1,1
1008 battery ln,0,1,1
1008 clearview dr,0,1,1
1009 12th Ave S B,0,1,1
"1009 14TH AVE S, 37212",0,1,1
"1009 14th Ave S, Nashville, TN 37212, United States",400,3,3
"1009 49th Ave N, Nashville, TN 37209, USA",0,1,1
1009 Drummond Dr,0,1,1
1009 Massman Dr,200,2,2
"1009 N 16th St, Nashville, TN 37206, United States",0,1,1
"1009 New Providence Pass, Nashville, TN 37115, United States",0,1,4
"1009 Pinot Chase, Nashville, TN 37013, United States",0,1,1
1009 Regents Parks Cir,0,1,1
1009 Rodney Dr,0,1,1
"1009 Rodney Dr, Nashville, TN 37205, United States",0,1,1
"1009 Shadow Ln, Nashville, TN 37206, United States",0,1,1
1009 Southside Ave B,200,2,2
"1009 Townley Dr, Nashville, TN 37115, United States",0,1,1
"1009 Trevino Pl, Antioch, Tennessee, 37013",400,3,3
1009 spain ave,0,1,1
"101 ABBOTTSFORD, 37215",0,1,1
"101 Aileen Ct, Antioch, TN 37013, USA",0,1,1
"101 Aileen Ct, Nashville, TN 37013, United States",0,1,1
101 Allendale Dr,0,1,1
101 BRAXTON HILL CT,0,1,1
"101 Barry Dr, Nashville, TN 37115, United States",400,3,1
"101 Bellebrook Cir, Nashville, TN 37205, United States",0,1,1
"101 Cedarmont Ct, Nashville, TN 37211, United States",0,1,1
"101 Guill Ct, Nashville, TN 37214, United States",0,1,1
"101 Haynes Park Dr, Nashville, TN 37218, United States",200,2,2
"101 Lafayette Ct, Nashville, TN 37205, United States",0,1,1
"101 Lutie St, Nashville, TN 37210, United States",0,1,1
"101 Old Amqui Rd, Nashville, TN 37115, United States",0,1,1
"101 Vaden Dr, Nashville, TN 37211, United States",0,1,1
101 WESTMINSTER PL,0,1,1
"101 WESTMINSTER PL, 37205",0,1,1
101 WHITNEY PLACE CT,0,1,1
"101 Westchester Ct, Nashville, TN 37115, United States",0,1,1
101 Westminster Pl,0,1,1
"101 Westminster Pl, Nashville, TN 37205, United States",600,4,4
101 Westover Park Ct,1200,7,7
101 guill ct,0,1,1
101 wentworth ave,0,1,1
101 westminster pl,0,1,1
1010 13th ave s,200,2,2
"1010 15th Ave S, Nashville, TN 37212, United States",0,1,1
1010 2nd ave s,0,1,1
1010 Massman Dr,0,1,1
"1010 N Graycroft Ave, Nashville, TN 37115, United States",0,1,1
1010 greenwich park,0,1,1
1011 12TH AVE S,400,3,3
"1011 12th Ave N, Nashville, TN 37208, United States",0,1,1
"1011 Chadwell Dr, Nashville, TN 37115, United States",0,1,1
"1011 ELM HILL PIKE, 37210",200,2,2
"1011 Elm Hill Pike, Nashville, TN 37210, United States",0,1,1
1011 Montrose Ave,0,1,1
1011 elm hill pike,1200,7,7
1011 stockell st,600,4,1
"1012 24th Ave N, Nashville, TN 37208, United States",0,1,1
"1012 32nd Ave N, Nashville, TN 37209, United States",0,1,1
"1012 40th Ave N, Nashville, TN 37209, United States",0,1,1
"1012 Arcadia Ct, Nashville, TN 37013, United States",0,1,1
1012 E Trinity Ln,0,1,1
"1012 Greenwich Park, Nashville, TN 37215, United States",0,1,1
1012 Jackson St,0,1,1
"1012 Mulberry Way, Nashville, TN 37207, United States",0,1,1
"1012 Pinot Chase, Nashville, TN 37013, United States",0,1,1
"1012 S Graycroft Ave, Nashville, TN 37115, United States",0,1,1
"1012 Saunders Ave, Nashville, TN 37115, United States",0,1,1
"1012 St Andrews Pl, Nashville, TN 37204, United States",0,1,1
1012 granada ct,0,1,1
1012 halcyon ave,0,1,1
1013 12th ave s,0,1,1
"1013 Argyle Ave, Nashville, TN 37203, United States",0,1,1
"1013 DOVE CREEK CT, 37013",200,2,2
"1013 Joseph Ave, Nashville, TN 37207, United States",0,1,1
"1013 N Dupont Ave, Nashville, TN 37115, United States",0,1,1
"1013 Pewter Ct, Nashville, TN 37115, United States",400,3,3
"1013 Preston Dr, Nashville, TN 37206, United States",0,1,1
"1013 Summercrest Ct, Nashville, TN 37013, United States",200,2,2
1013 dove creek ct,0,1,1
1013 glenview dr,0,1,1
1013 pennock ave,0,1,1
"1014 13th Ave S, Nashville, Tennessee, 37212",0,1,1
"1014 16th Ave N, Nashville, TN 37208, United States",0,1,1
"1014 ALICE ST, 37218",0,1,1
"1014 Bate Ave, Nashville, TN 37204, United States",0,1,1
"1014 Caruthers Ave, Nashville, TN 37204, United States",0,1,1
1014 DRAUGHON AVE,0,1,1
"1014 Dozier Pl, Nashville, TN 37216, United States",0,1,1
"1014 Elvira Ave, Nashville, TN 37216, United States",0,1,1
"1014 Fairwin Ave, Nashville, TN 37216, United States",0,1,1
1014 Jackson St A,0,1,1
"1014 Looby Cir, Nashville, TN 37208, United States",0,1,1
"1014 Maynor Ave, Nashville, TN 37216, United States",0,1,1
1014 Montrose Ave,0,1,1
"1014 Montrose Ave, Nashville, TN 37204, United States",0,1,1
1014 N 7th St,0,1,1
"1014 PARIS AVE, 37204",0,1,1
"1014 Paris Ave, Nashville, Tennessee, 37204",0,1,1
"1014 Potter Ln, Nashville, TN 37206, United States",0,1,1
"1014 Spain Ave, Nashville, TN 37216, United States",0,1,1
"1014 Townley Dr, Nashville, TN 37115, United States",0,1,1
"1014 W GREENWOOD AVE, 37206",0,1,1
1014 chicamauga ave,0,1,1
1014 downey dr,0,1,1
"1015 Argyle Ave, Nashville, TN 37203, United States",0,1,1
"1015 Granada Ave, Nashville, TN 37206, United States",0,1,1
"1015 Malquin Dr, Nashville, TN 37216, United States",200,2,2
"1015 N 6th St, Nashville, TN 37207, United States",0,1,1
"1015 Primm Dr, Nashville, TN 37115, United States",0,1,1
"1015 SCOVEL ST, 37208",0,1,1
"1015 Scovel St, Nashville, Tennessee, 37208",0,1,1
1015 Sharpe Ave,0,1,1
"1015 Sharpe Ave, Nashville, TN 37206, United States",0,1,1
"1015 W Trinity Ln, Nashville, TN 37218, United States",0,1,1
"1015 Westchester Dr, Nashville, TN 37115, United States",0,1,1
1015 clifton ln,0,1,1
"1016 ALICE ST, 37218",0,1,1
"1016 Alice St, Nashville, Tennessee, 37218",0,1,1
"1016 Battery Ln, Nashville, TN 37220, United States",200,2,1
"1016 Delmas Ave, Nashville, TN 37216, United States",0,1,1
1016 Elmshade Ln,0,1,1
"1016 Gale Ln, Nashville, TN 37204, United States",0,1,1
1016 Grove Ct,0,1,1
"1016 Jackson St, Nashville, TN 37208, United States",0,1,1
1016 MONTROSE AVE,200,2,2
"1016 Maynor Ave, Nashville, TN 37216, United States",0,1,1
1016 STAINBACK AVE,200,2,2
"1016 Stainback Ave, Nashville, TN 37207, United States",0,1,1
"1016 Streamdale Point W, Nashville, TN 37013, United States",0,1,1
"1016 Summercrest Ct, Nashville, TN 37013, United States",200,2,2
1016 delmas ave,0,1,1
1016 jackson st,0,1,1
1016 montrose ave,0,1,1
1016 n 7th st,0,1,1
"1017 14th Ave S, Nashville, TN 37212, United States",0,1,1
1017 2nd Ave S,0,1,1
"1017 42nd Ave N, Nashville, TN 37209, United States",0,1,1
"1017 9th Ave N, Nashville, TN 37208, United States",0,1,1
1017 ARGYLE AVE A,0,1,1
"1017 Bate Ave, Nashville, TN 37204, United States",200,2,2
"1017 Glendale Ln, Nashville, TN 37204, United States",0,1,1
"1017 Pennock Ave, Nashville, TN 37207, United States",0,1,1
"1017 Saunders Ave, Madison, TN 37115, United States",0,1,1
"1017 Saunders Ave, Nashville, TN 37115, United States",600,4,4
"1017 Woodvale Dr, Nashville, TN 37204, United States",200,2,2
1017 argyle ave,0,1,1
1017 w trinity ln,0,1,1
"1018 13th Ave S, Nashville, TN 37212, United States",0,1,1
1018 9th Ave S,0,1,1
"1018 Argyle Ave, Nashville, Tennessee, 37203",0,1,1
"1018 E Old Hickory Blvd, Nashville, TN 37115, United States",200,2,2
"1018 N Graycroft Ave, Nashville, TN 37115, United States",0,1,1
"1018 Wedgewood Ave, Nashville, TN 37203, United States",0,1,1
"1018 Woodland St, Nashville, TN 37206, United States",0,1,1
1018 n 7th st,0,1,1
"1019 DUE WEST AVE N, 37115",0,1,1
1019 MONROE ST A,0,1,1
"1019 Maynor Ave, Nashville, TN 37216, United States",0,1,1
"1019 NORCROSS DR, 37217",0,1,1
1019 VIRGINIA AVE,0,1,1
"102 Braxton Hill Ct, Nashville, TN 37204, USA",0,1,1
102 GILMAN AVE,0,1,1
"102 Gilman Ave, Nashville, TN 37205, United States",0,1,1
102 Graeme Dr,0,1,1
102 Graeme Dr B,0,1,1
"102 Graeme Dr, Nashville, TN 37214, United States",0,1,1
102 Lexington Ct,0,1,1
"102 Marshall Ct, Nashville, TN 37212, United States",200,2,2
"102 Okee Trail, Nashville, TN 37013, United States",200,2,2
"102 Westchester Ct, Madison, Tennessee, 37115",0,1,1
102 bonnie briar ln,0,1,1
102 west end close,0,1,1
"1020 Blue Mountain Ln, Nashville, TN 37013, United States",0,1,1
1020 Elmshade Ln,0,1,1
"1020 St Andrews Pl, Nashville, TN 37204, United States",0,1,1
1020 flintlock ct,0,1,1
"1021 Foster Ave, Nashville, TN 37210, United States",200,2,2
1021 IVERSON AVE,0,1,1
"1021 MCCLURKAN AVE, 37206",0,1,1
1021 Monroe St A,0,1,1
"1021 S GRAYCROFT AVE, 37115",0,1,1
1021 alice st,200,2,2
1021 sharpe ave,200,2,2
1021 summercrest ct,0,1,1
1022 Antioch Pike,0,1,1
"1022 Edwin Warner Dr, Nashville, TN 37205, United States",0,1,1
"1022 Fairwin Ave, Nashville, TN 37216, United States",0,1,1
"1022 Hart Ln, Nashville, TN 37216, United States",0,1,1
"1022 Hart Ln, Nashville, TN, USA",0,1,1
"1022 McMahan Ave, Nashville, TN 37216, United States",0,1,1
"1022 Primm Dr, Madison, Tennessee, 37115",0,1,1
1022 stainback ave,0,1,1
"1023 15th Ave S,Nashville,TN 37212,United States",0,1,1
"1023 2nd Ave S, Nashville, TN 37210, United States",0,1,1
"1023 Alice St, Nashville, TN 37218, United States",200,2,2
"1023 Cheatham Pl, Nashville, TN 37208, United States",200,2,2
1023 milesdale dr,0,1,1
"1024 2nd Ave S, Nashville, TN 37210, United States",0,1,1
"1024 Carla Ct, Nashville, TN 37217, United States",0,1,1
"1024 Carolyn Ave, Nashville, TN 37216, United States",0,1,1
1024 Mitchell Rd B,0,1,1
"1024 Percy Warner Blvd, Nashville, TN 37205, United States",0,1,1
1024 kirby ave,0,1,1
"1025 14th Ave S, Nashville, TN 37212, United States",0,1,1
"1025 GRANBERY PARK DR, 37027",0,1,1
1025 PRESTON DR,0,1,1
1025 preston dr,0,1,1
1025 villa pl,200,2,2
"1026 14th Ave N, Nashville, TN 37208, United States",200,2,2
"1026 Argyle Ave, Nashville, TN 37203, United States",0,1,1
"1026 Granbery Park Dr, Nashville, TN 37027, United States",0,1,1
1027 Burchwood Ave,0,1,1
"1027 Burchwood Ave, Nashville, TN 37216, United States",200,2,2
"1027 Carolyn Ave, Nashville, TN 37216, ??",0,1,1
1027 Iverson Ave,200,2,1
"1027 Lischey Ave, Nashville, TN 37207, United States",0,1,1
"1027 Westchester Dr, Nashville, TN 37115, United States",0,1,1
1028 Maxwell Ave,0,1,1
1028 elmshade ln,0,1,1
"1029 1st Ave S, Nashville, TN 37210, United States",200,2,2
"1029 3RD AVE S, 37210",0,1,1
1029 3rd ave s,0,1,4
1029 43rd Ave N,0,1,1
"1029 Capital Funds Ct, Nashville, TN 37217, United States",0,1,1
1029 Cheatham Pl,0,1,1
"1029 Chicamauga Ave, Nashville, TN 37206, United States",0,1,1
"1029 Edwin Warner Dr, Nashville, TN 37205, United States",0,1,1
"1029 Villa Pl, Nashville, TN 37212, United States",200,2,2
1029 lischey ave,0,1,1
"103 Alton Rd, Nashville, TN 37205, United States",1000,6,2
"103 Blue Hills Ct, Nashville, TN 37214, United States",400,3,3
"103 Braxton Hill Ct, Nashville, TN 37204, United States",0,1,1
103 Harding Road Ct,0,1,1
"103 Head Dr, Nashville, TN 37115, United States",0,1,1
"103 Jay St, Nashville, TN 37210, United States",200,2,2
"103 Murphy Ct, Nashville, TN 37203, United States",0,1,1
"103 Northcrest Commons Cir, Nashville, TN 37211, United States",0,1,1
103 Page Rd,0,1,1
"103 S 11th St, Nashville, TN 37206, United States",0,1,1
103 Savoy Cir,400,3,3
"103 Timberline Ct, Nashville, TN 37207, United States",0,1,1
103 page rd A,0,1,1
103 wentworth ave,0,1,1
"1030 16th Ave S, Nashville, TN 37212, United States",0,1,1
"1030 Burchwood Ave, Nashville, TN 37216, United States",0,1,1
"1030 Mitchell Rd, Nashville, TN 37206, United States",0,1,1
"1030 Villa Pl, Nashville, TN 37212, United States",0,1,1
"1030 W Greenwood Ave, Nashville, TN 37206, United States",0,1,1
"1030 Wade Ave, Nashville, TN 37203, United States",200,2,2
"1031 COLLEGE AVE, 37209",0,1,1
1032 Chicamauga Ave,200,2,2
"1032 Monroe St, Nashville, TN 37208, United States",0,1,1
"1033 Burchwood Ave, Nashville, TN 37216, United States",0,1,1
"1033 Falls Ave, Nashville, TN 37115, United States",0,1,1
"1033 GRANADA AVE, 37206",0,1,1
"1033 Mansfield St, Nashville, TN 37206, United States",0,1,1
"1034 Granada Ave, Nashville, TN 37206, United States",0,1,1
"1034 Monroe St, Nashville, TN 37208, United States",200,2,2
1035 ARCHER ST B,0,1,1
"1035 N Dupont Ave, Nashville, TN 37115, United States",0,1,1
"1035 Zophi St, Nashville, TN 37216, United States",200,2,2
1035 archer st b,0,1,1
"1036 DUE WEST AVE N, 37115",0,1,1
"1036 Granada Ave, Nashville, TN 37206, United States",0,1,1
1036 Regents Park Cir,0,1,1
"1036 Regents Park Cir, Nashville, TN 37013, United States",0,1,1
1037 2nd Ave S,0,1,1
"1037 2nd Ave S, Nashville, TN 37210, United States",0,1,1
"1037 Chicamauga Ave, Nashville, TN 37206, United States",0,1,1
"1037 Percy Warner Blvd, Nashville, TN 37205, United States",0,1,1
"1039 Brittany Park Dr, Nashville, TN 37013, United States",0,1,1
"1039 Davidson Rd, Nashville, TN 37205, United States",0,1,1
"104 Boyce Ct, Nashville, TN 37218, United States",0,1,1
"104 Braxton Hill Ct, Nashville, TN 37204, United States",0,1,1
104 CEDARMONT CT,0,1,1
"104 COLONY PT W, 37217",0,1,1
"104 Coastal Ct W, Nashville, TN 37217, United States",0,1,1
"104 E Marthona Rd, Nashville, TN 37115, United States",800,5,5
"104 Eaton Ct, Nashville, TN 37218, United States",400,3,3
104 GROOME DR,0,1,1
"104 Graeme Dr, Nashville, TN 37214, United States",0,1,1
104 Graylynn Dr,0,1,1
"104 Haynes Park Dr, Nashville, TN 37218, United States",0,1,1
"104 Heather Way, Brentwood, TN 37027, United States",0,1,1
"104 Iroquois Ct, Nashville, TN 37205, United States",0,1,1
"104 Jay St, Nashville, TN 37210, United States",0,1,1
"104 Lincoln Ct, Nashville, TN 37205, United States",0,1,1
104 Panamint Dr,0,1,1
"104 Panamint Dr, Nashville, TN 37013, United States",0,1,1
"104 Rural Ave, Nashville, TN 37209, United States",0,1,1
104 braxton hill ct,0,1,1
1040 Chicamauga Ave,200,2,2
"1040 St Andrews Pl, Nashville, TN 37204, United States",0,1,1
1040 chicamauga ave,0,1,1
1041 40th ave n,0,1,1
"1042 GRANBERY PARK DR, 37027",400,3,3
"1042 Granbery Park Dr, Nashville, TN 37027, United States",0,1,1
"1042 W Greenwood Ave, Nashville, TN 37206, United States",200,2,2
"1043 2nd Ave S, Nashville, TN 37210, United States",0,1,1
1043 E Trinity Ln,200,2,2
"1043 E Trinity Ln, Nashville, TN 37216, United States",200,2,2
1044 W Greenwood Ave,200,2,2
"1044 W Greenwood Ave, Nashville, TN 37206, United States",200,2,2
"1045 2nd Ave S, Nashville, TN 37210, United States",0,1,1
"1045 Lakewalk Dr, Nashville, TN 37013, United States",0,1,1
"1046 GRANBERY PARK DR, 37027",0,1,1
"1046 Granbery Park Dr, Nashville, TN 37027, United States",0,1,1
"1047 Seymour Ave, Nashville, TN 37206, United States",0,1,1
"1048 Zophi St, Nashville, TN 37216, United States",0,1,1
"104a Graeme Dr, Nashville, TN 37214, United States",0,1,1
105 Braxton Hill Ct,0,1,1
"105 Brian Cir, Nashville, TN 37013, United States",0,1,1
"105 Cedarmont Cir, Nashville, TN 37211, United States",0,1,1
105 Chapel Ave,0,1,1
"105 Charles Ct, Nashville, TN 37218, United States",0,1,1
105 Colemont Dr,0,1,1
"105 Colemont Dr, Nashville, TN 37013, United States",1000,6,6
"105 Colony Point E, Nashville, TN 37217, United States",200,2,2
"105 Dyer Ct, Nashville, TN 37218, United States",600,4,4
105 Evelyn Dr,0,1,1
"105 Evelyn Dr, Nashville, TN 37210, United States",0,1,1
"105 Iroquois Ct, Nashville, TN 37205, United States",0,1,1
"105 Kendall Park Dr, Nashville, TN 37217, United States",0,1,1
105 Keyway Dr,0,1,1
105 LAKE SIDE CT,0,1,1
"105 Murphy Ct, Nashville, TN 37203, United States",200,2,2
105 Oceanfront Cir n,0,1,1
105 Portsmouth Cv,0,1,1
"105 Rivers Edge Ct, Nashville, TN 37214, United States",0,1,1
"105 Robin Springs Rd, Nashville, TN 37220, United States",0,1,1
"105 Robin Springs Rd, Nashville, Tennessee, 37220",0,1,1
"105 Sandia Peak Ct, Nashville, TN 37013, United States",0,1,1
"105 Shihmen Ct, Nashville, TN 37013, United States",400,3,3
"105 Thrible Springs Ct, Nashville, TN 37211, United States",200,2,2
"105 Tomarand Ct, Nashville, TN 37013, United States",0,1,1
"105 Tomarand Rd, Nashville, TN 37013, United States",0,1,1
"105 Tusculum Rd, Nashville, TN 37013, United States",0,1,1
"105 Walters Ct, Nashville, TN 37218, United States",0,1,1
105 blue mist ct,0,1,1
105 mckennell dr,0,1,1
105 s 13th st,0,1,1
105 tasmen ct,0,1,1
105 wentworth ave,0,1,1
"1050 MURFREESBORO PIKE, 37217",200,2,6
"1056 Blue Mountain Ln, Nashville, TN 37013, United States",400,3,1
"1056 LISCHEY PL, 37207",0,1,1
"1057a Zophi St, Nashville, TN 37216, United States",0,1,1
"1058 Ashmore Dr, Nashville, TN 37211, United States",0,1,1
"106 Aileen Ct, Antioch, Tennessee, 37013",0,1,1
"106 Aileen Ct, Nashville, TN 37013, United States",0,1,1
106 Blackburn Ave,0,1,2
"106 Carriage Ct, Brentwood, TN 37027, United States",0,1,1
"106 Dupont Ave, Nashville, TN 37115, United States",0,1,1
"106 Fairway Dr, Nashville, TN 37214, United States",0,1,1
"106 Glenrose Ave, Nashville, TN 37210, United States",200,2,2
106 Lexington Ct,0,1,1
"106 Morningview Ct, Nashville, TN 37115, United States",0,1,1
106 PEPPER RIDGE CIR,0,1,1
106 Two Rivers Ct,0,1,1
106 clydelan ct,400,3,3
106 two rivers ct,0,1,1
106 valeria st,0,1,1
"1060 Zophi St, Nashville, TN 37216, United States",0,1,1
1061 Antioch Pike,0,1,1
107,0,1,1
"107 Bonnie Briar Ln, Nashville, TN 37212, United States",0,1,1
"107 Chatsworth Dr, Nashville, TN 37215, United States",200,2,2
"107 Harding Pl, Nashville, TN 37205, United States",0,1,1
"107 Kenner Ave, Nashville, TN 37205, United States",200,2,2
107 Lexington Ct,0,1,1
"107 Murphy Ct, Nashville, TN 37203, United States",0,1,1
"107 Vandiver Dr, Nashville, TN 37115, United States",0,1,1
107 bellebrook cir,1000,6,1
107 harding pl,0,1,1
"1070 Rural Hill Rd, Nashville, TN 37013, United States",0,1,1
"1071 2nd Ave S, Nashville, TN 37210, United States",0,1,1
"1073 GRANBERY PARK DR, 37027",0,1,1
"1074 GRANBERY PARK DR, 37027",800,5,5
"1075 2nd Ave S, Nashville, TN 37210, United States",200,2,2
"108 44th Ave N, Nashville, TN 37209, United States",200,2,2
"108 Alton Rd, Nashville, TN 37205, United States",200,2,2
"108 Apollo Ct E, Nashville, TN 37013, United States",400,3,3
"108 Barella Ct, Nashville, TN 37013, United States",0,1,1
"108 Benson Rd, Nashville, TN 37214, United States",400,3,3
"108 Benson Rd, Nashville, Tennessee, 37214",0,1,1
"108 Blackburn Ave, Nashville, TN 37205, United States",0,1,1
"108 Brattlesboro Dr, Nashville, TN 37204, United States",0,1,1
"108 Cedar Ash Ct, Nashville, TN 37013, United States",200,2,2
"108 Clearlake Dr E, Nashville, TN 37217, United States",0,1,1
"108 Coastal Ct W, Nashville, TN 37217, United States",0,1,1
"108 Graycroft Ct, Nashville, TN 37115, United States",400,3,3
108 Hanover Sq,0,1,1
"108 Heather Way, Brentwood, TN 37027, United States",0,1,1
"108 Iroquois Ct, Nashville, TN 37205, United States",0,1,1
108 LEXINGTON CT,0,1,1
108 Lexington Ct,0,1,1
"108 Lexington Ct, Nashville, TN 37215, United States",400,3,3
"108 Lincoln Ct, Nashville, TN 37205, United States",0,1,1
"108 Lorraine Ave, Nashville, TN 37207, United States",0,1,1
"108 Morningview Ct, Madison, TN 37115, United States",0,1,1
108 PEACHTREE ST,0,1,1
"108 Queens Ln, Nashville, TN 37218, United States",0,1,4
"108 Rose St, Nashville, TN 37210, United States",0,1,1
"108 S Graycroft Ave, Nashville, TN 37115, United States",200,2,2
108 Towne Village Ct,200,2,2
"108 Tusculum Rd, Nashville, TN 37013, United States",600,4,4
108 Whitney Place Ct,0,1,1
108 bess ct s,0,1,1
108 fern ave,0,1,1
108 keyway dr,0,1,1
108 lexington ct,0,1,1
108 n haven ct,0,1,1
1080 ZOPHI ST,0,1,1
